"items","support","count"
"{few existing stories,few proposed stories,few proposed units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few existing stories,few existing units,few proposed stories,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few districts,few existing stories,few existing units,few proposed stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing stories,few existing units,few proposed stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few existing stories,few proposed stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few existing stories,few proposed stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing stories,few proposed stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing stories,few existing units,few proposed stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing stories,few proposed stories,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few districts,few existing units,few proposed stories,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few existing units,few proposed stories,few proposed units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few districts,few proposed stories,few proposed units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few districts,few proposed stories,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few proposed stories,few proposed units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few existing units,few proposed stories,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few districts,few existing units,few proposed stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few existing units,few proposed stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing units,few proposed stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few proposed stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few proposed stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few proposed stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing units,few proposed stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few proposed stories,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few existing stories,few proposed stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few existing stories,few existing units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few existing stories,few existing units,few proposed units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few districts,few existing stories,few proposed units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few districts,few existing stories,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few existing stories,few proposed units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few existing stories,few existing units,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
"{few districts,few existing stories,few existing units,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few existing stories,few existing units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing stories,few existing units,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few existing stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few districts,few existing stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing stories,few proposed units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing stories,few existing units,proposed construction type5,some streets}",0.0532650802434975,1155
"{few existing stories,Permit type8,proposed construction type5,some streets}",0.0508669987087253,1103
